       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
--------------------+-----------+------------+-------------+--------------+--------
 Customer#000585892 |    585892 |    4806726 | 1995-01-17  |    567009.45 | 328.00
 Customer#000290597 |    290597 |   17457767 | 1993-06-05  |    565761.34 | 316.00
 Customer#000339922 |    339922 |   23245603 | 1994-11-22  |    563186.79 | 321.00
 Customer#002060498 |   2060498 |   42290181 | 1997-11-26  |    559611.82 | 318.00
 Customer#000323773 |    323773 |   73978176 | 1994-10-28  |    546742.96 | 319.00
 Customer#000810638 |    810638 |   65003587 | 1992-02-15  |    542382.29 | 318.00
 Customer#000914644 |    914644 |   21213895 | 1992-01-03  |    538959.62 | 327.00
 Customer#002049916 |   2049916 |    4722021 | 1994-04-07  |    532762.97 | 323.00
 Customer#000175708 |    175708 |   10408580 | 1994-09-03  |    532422.35 | 320.00
 Customer#002029823 |   2029823 |    4702759 | 1994-11-07  |    532090.02 | 320.00
 Customer#000936616 |    936616 |   74270531 | 1997-05-12  |    531943.54 | 320.00
 Customer#001508360 |   1508360 |   48881602 | 1993-09-19  |    530313.41 | 327.00
 Customer#001963010 |   1963010 |   65178529 | 1997-03-31  |    524377.58 | 322.00
 Customer#001247803 |   1247803 |   67693986 | 1995-03-08  |    520511.93 | 321.00
 Customer#000623156 |    623156 |   21135524 | 1992-11-22  |    519272.44 | 320.00
 Customer#002186660 |   2186660 |   94223492 | 1995-12-26  |    517005.92 | 326.00
 Customer#002237642 |   2237642 |   90068066 | 1992-07-25  |    511860.27 | 323.00
 Customer#001064632 |   1064632 |    7810823 | 1998-01-05  |    510302.33 | 324.00
 Customer#001068610 |   1068610 |    2199712 | 1996-09-30  |    508691.97 | 327.00
 Customer#002036281 |   2036281 |   92511430 | 1995-03-06  |    507676.54 | 318.00
 Customer#001213276 |   1213276 |   92995713 | 1993-12-18  |    507211.23 | 325.00
 Customer#000595435 |    595435 |   48300454 | 1992-11-30  |    506710.54 | 318.00
 Customer#001323275 |   1323275 |   82389922 | 1997-12-05  |    503513.95 | 326.00
 Customer#001785007 |   1785007 |   13165024 | 1992-06-29  |    503383.77 | 318.00
 Customer#001597576 |   1597576 |   51532000 | 1992-10-27  |    502309.98 | 319.00
 Customer#001570330 |   1570330 |   20971013 | 1997-08-12  |    501898.23 | 322.00
 Customer#001544573 |   1544573 |   71585349 | 1997-03-26  |    500905.45 | 316.00
 Customer#000800905 |    800905 |   35383045 | 1997-12-11  |    500068.67 | 317.00
 Customer#000556540 |    556540 |   53623108 | 1995-05-07  |    495828.86 | 316.00
 Customer#000730064 |    730064 |   58000519 | 1996-01-17  |    492908.04 | 325.00
 Customer#000140713 |    140713 |   10805828 | 1997-07-29  |    491544.55 | 316.00
 Customer#000175042 |    175042 |   10612710 | 1995-02-05  |    491367.19 | 319.00
 Customer#002371127 |   2371127 |   43609317 | 1996-02-17  |    488733.36 | 325.00
 Customer#001963360 |   1963360 |   35542498 | 1993-10-12  |    487738.94 | 325.00
 Customer#001236898 |   1236898 |   38914978 | 1996-05-28  |    487732.32 | 324.00
 Customer#000970741 |    970741 |   72098242 | 1993-11-07  |    487420.76 | 316.00
 Customer#000837865 |    837865 |   32393895 | 1993-08-09  |    485101.05 | 316.00
 Customer#000842890 |    842890 |   78292896 | 1996-10-01  |    484782.20 | 321.00
 Customer#000946345 |    946345 |   55799200 | 1996-02-11  |    483836.70 | 327.00
 Customer#001835975 |   1835975 |   66813285 | 1993-09-10  |    483723.12 | 323.00
 Customer#000102971 |    102971 |    7235014 | 1998-03-09  |    483442.66 | 323.00
 Customer#001365967 |   1365967 |   15071267 | 1994-10-22  |    482302.93 | 317.00
 Customer#001382894 |   1382894 |   84927619 | 1997-06-29  |    481366.94 | 316.00
 Customer#001971767 |   1971767 |   52340710 | 1993-01-01  |    480232.60 | 320.00
 Customer#000014153 |     14153 |   39702437 | 1995-11-23  |    480126.98 | 321.00
 Customer#001876021 |   1876021 |   36667107 | 1997-06-06  |    479181.17 | 322.00
 Customer#001762805 |   1762805 |   46794464 | 1992-04-28  |    477773.52 | 320.00
 Customer#000565217 |    565217 |   22017989 | 1996-06-17  |    476889.46 | 318.00
 Customer#001901026 |   1901026 |   42997059 | 1997-03-15  |    476446.06 | 320.00
 Customer#001184785 |   1184785 |   87006309 | 1992-11-21  |    475358.90 | 320.00
 Customer#001127935 |   1127935 |   77585543 | 1995-11-18  |    475090.31 | 321.00
 Customer#002061092 |   2061092 |   48943904 | 1996-07-22  |    474875.80 | 325.00
 Customer#001555978 |   1555978 |   91630982 | 1992-09-11  |    474428.87 | 317.00
 Customer#000957367 |    957367 |   56497062 | 1998-04-28  |    473440.37 | 320.00
 Customer#000815699 |    815699 |   82043264 | 1996-04-15  |    472921.95 | 330.00
 Customer#000266542 |    266542 |   46685344 | 1993-12-14  |    472914.36 | 327.00
 Customer#001611961 |   1611961 |   89268039 | 1994-05-20  |    471188.30 | 326.00
 Customer#002206654 |   2206654 |   49474597 | 1992-03-06  |    469824.18 | 319.00
 Customer#001840367 |   1840367 |   85375813 | 1995-03-04  |    468841.76 | 316.00
 Customer#001931311 |   1931311 |   34201984 | 1997-06-18  |    467921.77 | 322.00
 Customer#001888894 |   1888894 |   19217698 | 1993-03-26  |    467196.06 | 316.00
 Customer#001000693 |   1000693 |   91987296 | 1992-05-19  |    467008.74 | 324.00
 Customer#001824760 |   1824760 |   29122912 | 1996-05-08  |    466265.05 | 323.00
 Customer#001062688 |   1062688 |   95460257 | 1994-11-15  |    466117.23 | 316.00
 Customer#001326586 |   1326586 |   85266340 | 1998-05-31  |    465696.46 | 318.00
 Customer#002278660 |   2278660 |   48395044 | 1994-06-03  |    465075.24 | 316.00
 Customer#001433609 |   1433609 |   24923202 | 1993-10-04  |    464153.30 | 316.00
 Customer#000507655 |    507655 |   44178691 | 1998-01-24  |    461536.15 | 316.00
 Customer#001196356 |   1196356 |   63125379 | 1997-07-20  |    459748.69 | 321.00
 Customer#000183380 |    183380 |   59930883 | 1997-05-17  |    458407.98 | 319.00
 Customer#000518875 |    518875 |   26465922 | 1996-11-04  |    457910.49 | 331.00
 Customer#002208476 |   2208476 |   13837220 | 1994-09-07  |    457534.30 | 316.00
 Customer#001031696 |   1031696 |   28184576 | 1994-01-29  |    457069.12 | 324.00
 Customer#001842904 |   1842904 |   55722822 | 1995-08-24  |    456850.28 | 316.00
 Customer#000217435 |    217435 |   84013094 | 1998-03-07  |    456039.56 | 316.00
 Customer#001444168 |   1444168 |   85901154 | 1995-10-21  |    455470.73 | 318.00
 Customer#000360899 |    360899 |   39492870 | 1995-08-12  |    455459.43 | 317.00
 Customer#000267340 |    267340 |   17366275 | 1998-01-14  |    454024.22 | 316.00
 Customer#002093401 |   2093401 |   28077922 | 1996-10-27  |    453836.42 | 319.00
 Customer#000426796 |    426796 |   41274690 | 1992-08-10  |    453677.46 | 317.00
 Customer#001988668 |   1988668 |   49847329 | 1995-09-20  |    453412.03 | 319.00
 Customer#001861451 |   1861451 |   11141606 | 1997-09-28  |    452108.28 | 325.00
 Customer#000868474 |    868474 |   64315239 | 1992-08-13  |    451088.42 | 317.00
