          nation           | o_year |   sum_profit   
---------------------------+--------+----------------
 ALGERIA                   |   1998 | 441776881.4854
 ALGERIA                   |   1997 | 742550480.9684
 ALGERIA                   |   1996 | 745889782.3043
 ALGERIA                   |   1995 | 743886819.4938
 ALGERIA                   |   1994 | 749829843.7231
 ALGERIA                   |   1993 | 742213789.8507
 ALGERIA                   |   1992 | 744707325.2751
 ARGENTINA                 |   1998 | 433866434.4019
 ARGENTINA                 |   1997 | 738698150.3933
 ARGENTINA                 |   1996 | 743293135.3291
 ARGENTINA                 |   1995 | 737413093.8870
 ARGENTINA                 |   1994 | 742826795.6449
 ARGENTINA                 |   1993 | 743708618.9584
 ARGENTINA                 |   1992 | 746795940.3322
 BRAZIL                    |   1998 | 429827628.4909
 BRAZIL                    |   1997 | 738985326.1326
 BRAZIL                    |   1996 | 742207703.6238
 BRAZIL                    |   1995 | 736365911.4290
 BRAZIL                    |   1994 | 737886553.2029
 BRAZIL                    |   1993 | 740646044.7522
 BRAZIL                    |   1992 | 743939836.4367
 CANADA                    |   1998 | 436611529.7887
 CANADA                    |   1997 | 762467381.7448
 CANADA                    |   1996 | 763084611.9644
 CANADA                    |   1995 | 748890774.6103
 CANADA                    |   1994 | 758316527.3486
 CANADA                    |   1993 | 751935635.0165
 CANADA                    |   1992 | 767281649.3514
 CHINA                     |   1998 | 437675236.9929
 CHINA                     |   1997 | 729463010.8066
 CHINA                     |   1996 | 757018789.1139
 CHINA                     |   1995 | 738593797.6555
 CHINA                     |   1994 | 733683371.2731
 CHINA                     |   1993 | 734820722.8980
 CHINA                     |   1992 | 745643206.5215
 EGYPT                     |   1998 | 434708873.8195
 EGYPT                     |   1997 | 748140704.2575
 EGYPT                     |   1996 | 749777772.8435
 EGYPT                     |   1995 | 743581056.5830
 EGYPT                     |   1994 | 753126983.1899
 EGYPT                     |   1993 | 740972355.9611
 EGYPT                     |   1992 | 747545713.5409
 ETHIOPIA                  |   1998 | 427089919.0514
 ETHIOPIA                  |   1997 | 720921515.5507
 ETHIOPIA                  |   1996 | 724182416.9262
 ETHIOPIA                  |   1995 | 726269574.0655
 ETHIOPIA                  |   1994 | 721819425.2285
 ETHIOPIA                  |   1993 | 727125498.4326
 ETHIOPIA                  |   1992 | 726032756.7586
 FRANCE                    |   1998 | 436560823.3563
 FRANCE                    |   1997 | 728156665.1578
 FRANCE                    |   1996 | 731065288.3988
 FRANCE                    |   1995 | 723912611.6327
 FRANCE                    |   1994 | 727407027.5607
 FRANCE                    |   1993 | 736925347.6872
 FRANCE                    |   1992 | 744924727.0847
 GERMANY                   |   1998 | 439759448.7940
 GERMANY                   |   1997 | 748948393.5538
 GERMANY                   |   1996 | 752915641.6403
 GERMANY                   |   1995 | 753185653.8759
 GERMANY                   |   1994 | 747248053.6448
 GERMANY                   |   1993 | 746980282.1818
 GERMANY                   |   1992 | 754883542.0112
 INDIA                     |   1998 | 442796514.6705
