 ps_partkey |    value    
------------+-------------
      88209 | 16673897.68
     168201 | 16516752.25
      60672 | 16038681.63
     158262 | 15906371.23
      89814 | 15752519.90
     125798 | 15109919.20
      85642 | 14950197.87
     103034 | 14765868.45
     184163 | 14464879.29
      25375 | 14352977.25
     154824 | 14312770.75
      19498 | 14102248.77
      23393 | 13963899.59
     131214 | 13891331.04
      45404 | 13732056.76
     199803 | 13709527.20
     148306 | 13551429.34
      58694 | 13426223.58
     186010 | 13205285.69
     184110 | 13144193.86
      20794 | 13056697.49
     141212 | 13020167.88
     115392 | 13010710.63
      63516 | 12986140.00
      63341 | 12924260.08
     153074 | 12903813.36
     199965 | 12889209.96
      34751 | 12850912.64
     120707 | 12816187.30
     195690 | 12708457.74
      37895 | 12669148.08
      52672 | 12664681.80
      83833 | 12664223.05
     136240 | 12657736.38
     180198 | 12571036.64
     103516 | 12569571.46
      39786 | 12568979.10
      22328 | 12539840.50
     146393 | 12495489.75
      68875 | 12480643.14
     119971 | 12443547.27
      84787 | 12436879.15
     177130 | 12325833.03
     106418 | 12316716.85
     102925 | 12263444.19
     179590 | 12170454.35
      25773 | 12113985.77
     179805 | 12084191.94
      20112 | 12075295.10
      13948 | 12053190.21
      64198 | 12038041.43
      73266 | 12028835.39
     179794 | 12012900.47
     172828 | 11983071.87
     103047 | 11972665.78
      29104 | 11963892.48
     139830 | 11899808.70
     104284 | 11851787.26
     191160 | 11741403.30
      45642 | 11686625.47
     118881 | 11662019.44
     177626 | 11647235.30
     174043 | 11640826.62
     105378 | 11573791.99
     147115 | 11556300.77
      63734 | 11538816.01
     121604 | 11468615.94
     126127 | 11456529.71
      38205 | 11434435.55
      46377 | 11432907.16
     187370 | 11366206.04
     115150 | 11303131.60
     134488 | 11285520.02
     167289 | 11269108.43
     153127 | 11241416.57
     163867 | 11214416.40
      45375 | 11194884.24
     189576 | 11191083.68
     141664 | 11182224.79
     121642 | 11157465.13
     191355 | 11150463.78
      55996 | 11132747.52
      74287 | 11062612.80
     173455 | 11040084.06
      39314 | 10999248.06
     151336 | 10993400.88
      28580 | 10982275.28
      19757 | 10922877.30
      60370 | 10897180.73
     162094 | 10871503.17
     146449 | 10797271.32
     122925 | 10789928.09
     107905 | 10774107.44
     180398 | 10768690.94
      34792 | 10741876.51
      50632 | 10738101.79
     100378 | 10628026.00
     189270 | 10611024.14
      32325 | 10590429.78
      61671 | 10577722.27
     138965 | 10545061.37
     186917 | 10518294.46
     173495 | 10508169.36
      25798 | 10506900.54
     125634 | 10496166.36
      86628 | 10487569.20
      78491 | 10417888.02
     126766 | 10417699.84
     152315 | 10372112.42
     111594 | 10367155.96
      12311 | 10356285.20
     175616 | 10348315.47
       6018 | 10345306.56
     140820 | 10329341.30
     128738 | 10307882.26
     134782 | 10284357.30
     165412 | 10278739.86
      49720 | 10268893.53
     170658 | 10257371.82
     142482 | 10246754.61
      77978 | 10197143.90
      69186 | 10172870.30
     133334 | 10151662.12
      24302 | 10142085.06
     160261 | 10124544.67
     132869 | 10122459.80
      83193 | 10121914.95
      93518 | 10118889.78
      60707 | 10109095.64
      70712 | 10107983.52
     181959 | 10092436.60
       7493 | 10084912.60
     172346 | 10078495.36
     173494 | 10076776.11
      58810 | 10060706.91
      10182 | 10034526.38
      83134 | 10034213.09
      94924 |  9980869.05
      45006 |  9979800.40
     134110 |  9956191.65
      32490 |  9947797.71
      77854 |  9930742.88
      26048 |  9926157.68
      36240 |  9912168.00
     137843 |  9907678.45
      54099 |  9896902.47
     166241 |  9876846.00
      17490 |  9867827.88
     147567 |  9861579.50
     126628 |  9841765.10
      58111 |  9840579.60
      67256 |  9831679.14
      60760 |  9811296.94
      28353 |  9797316.75
      85996 |  9793598.00
      74385 |  9777340.82
       9538 |  9763403.12
     125089 |  9755173.01
      48514 |  9750188.93
     112845 |  9748479.20
      88859 |  9744374.80
     174863 |  9739828.80
