          s_name           |                s_address                 
---------------------------+------------------------------------------
 Supplier#000000049        | Nvq 6macF4GtJvz
 Supplier#000000084        | DcYjWMiZGQqEKOJi4wAmIV08ikx
 Supplier#000000087        | WCw7URDj8zoZ7tqC3cpm7
 Supplier#000000318        | Cm5fnQ4M6VeJF17mBbV6iB0XoQL31STrb3Su
 Supplier#000000405        | dJIijVTX n7M0NDEQvCA 
 Supplier#000000448        | cYzWCXDovaNR ,S3PICo3KYKAG3bYm0YKyqaZVu
 Supplier#000000501        | PSStC43vWlQQpmTku4s
 Supplier#000000591        | iXlVA9y6oX4
 Supplier#000000597        | CKt5G XZ5DBt
 Supplier#000000620        | 5pd GQ2NTM3c2uR,gCg9NspSE
 Supplier#000000844        | COb5r2WsvJ0zf 58tJJLgYvEZHJb74EBdp
 Supplier#000001212        | SNWZ4sgC8Gh
 Supplier#000001329        | 1DD sDixDoCQwZTn
 Supplier#000001413        |  fVaD46c59u
 Supplier#000001421        | NsA09mqAFTnTD6SMdDpLSuRfq4LwHT
 Supplier#000001458        | 3SmErYBeN9EFj
 Supplier#000001459        | 9f0o97h4BZp2EFZdILZKMcHDa5C8K3
 Supplier#000001492        | z2uNRsyJJ,ezj,7lW1C1
 Supplier#000001503        | bmkFWwm85BlTbkdPFOWKKs
 Supplier#000001566        | FxGHzfvgqFzHSvl94ir CrV TzfDHA
 Supplier#000001578        | MI,JjL08uqYHU9tH,agj1wpSWQq 9hcP,VCC6vcR
 Supplier#000001620        | yD0MbgagtO2
 Supplier#000001787        | y038r5l,dusbQMGAXd4G
 Supplier#000001793        | e37l8lvsJviZzWt5z
 Supplier#000001814        | eHqfI3FhFG7gT2G,Kb21V4yr NyQhVKH04yfIyj
 Supplier#000001837        | y6OPRBPQnzsH5S9HVkTx2WZXejyXKL,8g2,
 Supplier#000001838        | FFUsR1DLGv1pp
 Supplier#000001852        | yNq 3s,7SgnMyjX94eg
 Supplier#000001891        | nmvfVVyBMUitm1hiZv
 Supplier#000001954        | QrTQJOkhS7WEFB3L5zbvDUSGh4lV oh
 Supplier#000001984        | M,EWRY6BhH
 Supplier#000001985        | iNpX5StxnUW8DlgToWvv9kZ Uk
 Supplier#000002103        | 6RnHhF2YEr2p3tBPCxAnNQsw,apIQyilDz
 Supplier#000002158        | VxglnCKPCfx71cz0Lr
 Supplier#000002187        | 5SmzRnGn8,fzW1KllxYzi4CXLNLiSX3k8wsIj
 Supplier#000002192        | KWu5GK8oZHC7tP
 Supplier#000002406        | iaNlOIvCCtBoOPeZVWxcc6UZzR,64pKF 96F
 Supplier#000002535        | A C1WmBRZA2BePs3f  nB6D
 Supplier#000002558        | DHTaILleK5JTKuPqwnMRCQXjuFfxd9cJklY
 Supplier#000002582        | R1auTuXErSql4 ,FqfJoJStindVfyNjgY
 Supplier#000002597        | 8yyFE4QJiycII7AbOPOcH DJYSmTwxG3TK
 Supplier#000002602        | So6U9dxBXM60pCxlEBmKm HZo
 Supplier#000002608        | k5SMIxuhT0k
 Supplier#000002786        |  72f,5VdQ4nVanOO
 Supplier#000002825        | mzbJR5gHrpDZJ1SG YnDs BFH6aDRC8X
 Supplier#000003001        | p,vtdzmZWY7YiO
 Supplier#000003127        | e5zpOo2IbVIwawn2OeD,uhW5urkAgBm6jTcyiA
 Supplier#000003139        | lyCs,nPAiP0Ho9ZVH8Niij5b
 Supplier#000003211        | 4TnN3VB1sxFafF6FyOPYQWfbRa7D54Tk
 Supplier#000003214        | WuxgYli,8Z,4BzFqgB EyFrV9MnX
 Supplier#000003274        | SH5h0up3L7Auhcs6YO1r
 Supplier#000003299        | ZH jMEKsbbDbxEGl8M8 l6,tVtEmA
 Supplier#000003379        | lITn8oL3ITnsiQ0rq
 Supplier#000003463        | 8m0HaduJeFZSVd1GRWvJkNhv4O KSM
 Supplier#000003505        | ,YQvvqAAlz3k11VggQ,xdsYU1yqSQ
 Supplier#000003509        | bfcnS,,zeGNeSfYyz8M
 Supplier#000003633        | 1Md2Gjf0IiFEKpDUwxL0Hj0M6piL7KC
 Supplier#000003766        | mO suhe 4yZkt4
 Supplier#000003820        | zsuoXVzqz,s
 Supplier#000003882        | 4fAALx0klt0jiU7BJSOk  GK1WBarg3GKZdeVf
 Supplier#000003940        | ScNf9cfd8g7RdcrtpU7Afk8NXgASA
 Supplier#000003977        | hcq,RUMaS5aQKKqG8KULXMb9aMhzPMNYdsvofo
 Supplier#000003988        | MF7EzpHHs3IpUsAZ1cB7M9lxYuqQUWUO
 Supplier#000004034        |  2NQRRAXCAOhQot5xjf OGgeKnTq,9e
 Supplier#000004103        | EYdd,noRdDff
 Supplier#000004134        | mtcNe9kFAvH1cbrhZd3nnepaeug6BbNadQ1Dd6l
 Supplier#000004263        | DTd4Cftgq4BgEnbTW0
 Supplier#000004461        | HouUSURyqmrtWSk,4
 Supplier#000004528        | roNpvAnFYHwel1QGrgILQ
 Supplier#000004541        | OJPZxwlH9UaQ,pw,gt9bFwj w7
 Supplier#000004634        | ukp63mlcz4saSWQr
 Supplier#000004684        | Wki58fvNf dzCjJD6dSxzP5i
 Supplier#000004695        | g6KTg6OgozXMozTjPx0
 Supplier#000004741        | DgYOWOKos9R6HBY0aU8WKTJp
 Supplier#000004805        | 2gKQFPhqb64TUxuNtLApozpqap2lHqpzz8KEny
 Supplier#000004817        | UL ZJxywDNpE5UGHSQUsxTKMppg
 Supplier#000004825        | CjrxyjFU9Tcgg5Lnr8KO o
 Supplier#000004846        | yaGqqDppYiGSkpUnHASEkrxb5xD9SkCpI2vad
 Supplier#000004956        | ibDuLQ0D8W1hK3m 7sMKFt5fw8XGzp1aU
 Supplier#000005082        | bWSoVdVj6qSqm
 Supplier#000005102        | ,i2pqfh6F 32nkGqSpHK6DyXQKCcEIHZjMtjbLQ0
 Supplier#000005405        | bELF8cmaclvh7MHsX,Hlj6ncsPqO5NaM52iO
 Supplier#000005428        | A 9bt7EzZq1uY1yQniQLTXHGUb9BE3
 Supplier#000005431        | e0c5oEacjV06Xv5HJ7u6vGM,f
 Supplier#000005547        | lve22o11GmyI
 Supplier#000005590        | gvX4lIaMD5pPI7lZQl
 Supplier#000005611        | pSGcoAPtjG6R
 Supplier#000005617        | JwWENFPcbxn2nk4AGFIZCWnza8hAxf8AL1XrczXM
 Supplier#000005670        | mliDT,MwBrJcAFuF,Ie0uDzgpwblYaHjY4LR
 Supplier#000005712        | RKoQ5ijTQ6q
 Supplier#000005793        | WVlXdhQywxw1frEcc
 Supplier#000005850        | cn4kJKDy5otUOanVqO2ooztd8b1Ob
 Supplier#000005869        | ,UjeDDuvd6xwv513Uhl9o
 Supplier#000005935        | vB3BeyMIWG JEMeF7,4h2
 Supplier#000005964        | lo8SzMQEUybrAqiU4,p
 Supplier#000005977        | V8rEW7GYlWJM3S4IIO0nmLAclj6SetYsjCEYAlAg
 Supplier#000006044        | OngloI0oZQ hujfKtiO26 XQF
 Supplier#000006137        | KZYZhX6y6KBg9Cs yzLG7K65sAdXG0FIfhjQktQ
 Supplier#000006145        |  YN8CD22,RU3,LytJj0JMsbXi7DGyU2U
 Supplier#000006220        | FeiFBC36pFsat5
 Supplier#000006247        | 3JmrDbyjGCw1LmtsOo
 Supplier#000006420        | WsuMIhxVOrPENcumh1aMY9MjZIJHhUEtsUmn
 Supplier#000006425        | M40,4vzvHXPnti8pBmvCYXVC
 Supplier#000006431        | cbUFbYgCcICskrbCmxmOxZQgvY8Oe0m
 Supplier#000006495        | vKOq9W5U9vh2,KuaVFibFDa2kqjUR4dkj2H
 Supplier#000006501        | 8SgyHYIWUpJstMX7FuHw3k3
 Supplier#000006530        | QyKRu05w,UoOZ0jm7 HBdG101ouPSI98iQt6Fk
 Supplier#000006565        | 93bSUVzAR7StP1gOL9UdiVGNrH2
 Supplier#000006625        | 4e8W9wdzG6VoH
 Supplier#000006647        | MGroKuG,dU52
 Supplier#000006691        | ,r4UTxGeXio72O6ZRqL3contwCR
 Supplier#000006758        | 4WLcLJOz3DV3
 Supplier#000006773        | LkkyhDBh7bTAPvzFq5HUmWo2
 Supplier#000006775        | aph5vhayqx
 Supplier#000006782        | Dt4TTM ,rc5mekbZe63Hzf2qx M,2XQsLUREfyyU
 Supplier#000006832        | UgadmHfm2qXtLvuyK2MABgd7NGe0G2p0b9G
 Supplier#000006884        | LKEdePXRdzmYopcfKhEvM9aMgZ19xtKRwaFR35
 Supplier#000006903        | UgUQMp80h0vqpULCwS0MJ,hMqFXNH3UYkSDZg6
 Supplier#000006912        | hff1tjJJ8LKrYA4Mp
 Supplier#000006940        | ieKVy0qc7Knj,aaBeOQb
 Supplier#000007143        | NFBf1JKFODt
 Supplier#000007230        | bVgNADApRN6dAUGrUgpuxsm XMjo2J14J
 Supplier#000007236        | NmUSpgmcSA9eBb1kp7ycjB44jpGzjiwkmZd Qtn
 Supplier#000007383        | ECCvFTjqtlzXlDuT6erP51Il
 Supplier#000007430        | 6XfH6NiFdely
