          nation           | o_year |  sum_profit   
---------------------------+--------+---------------
 ALGERIA                   |   1998 | 28755250.6829
 ALGERIA                   |   1997 | 51619211.9021
 ALGERIA                   |   1996 | 50971117.0264
 ALGERIA                   |   1995 | 50178326.0903
 ALGERIA                   |   1994 | 50354843.0773
 ALGERIA                   |   1993 | 49820603.5342
 ALGERIA                   |   1992 | 51302886.2303
 ARGENTINA                 |   1998 | 28255173.9688
 ARGENTINA                 |   1997 | 49685501.9374
 ARGENTINA                 |   1996 | 46926858.5712
 ARGENTINA                 |   1995 | 46851125.2080
 ARGENTINA                 |   1994 | 49234395.2757
 ARGENTINA                 |   1993 | 48193924.4684
 ARGENTINA                 |   1992 | 46772926.3839
 BRAZIL                    |   1998 | 29453203.0558
 BRAZIL                    |   1997 | 53166206.4842
 BRAZIL                    |   1996 | 51245689.0517
 BRAZIL                    |   1995 | 50725795.8590
 BRAZIL                    |   1994 | 51048777.3177
 BRAZIL                    |   1993 | 51140450.0984
 BRAZIL                    |   1992 | 51064871.1914
 CANADA                    |   1998 | 28708110.9532
 CANADA                    |   1997 | 46015447.1263
 CANADA                    |   1996 | 47897170.1996
 CANADA                    |   1995 | 49101617.1657
 CANADA                    |   1994 | 47778608.0761
 CANADA                    |   1993 | 46463505.6542
 CANADA                    |   1992 | 46612516.5557
 CHINA                     |   1998 | 27480125.7077
 CHINA                     |   1997 | 47832681.4801
 CHINA                     |   1996 | 48877294.3927
 CHINA                     |   1995 | 47454173.8987
 CHINA                     |   1994 | 46848224.8922
 CHINA                     |   1993 | 48342477.0789
 CHINA                     |   1992 | 48731972.0827
 EGYPT                     |   1998 | 29727033.8910
 EGYPT                     |   1997 | 48391226.2398
 EGYPT                     |   1996 | 48211890.4802
 EGYPT                     |   1995 | 51307100.4651
 EGYPT                     |   1994 | 48826074.9820
 EGYPT                     |   1993 | 49075417.8474
 EGYPT                     |   1992 | 47645389.2097
 ETHIOPIA                  |   1998 | 25306991.7388
 ETHIOPIA                  |   1997 | 44764832.0032
 ETHIOPIA                  |   1996 | 45073961.7514
 ETHIOPIA                  |   1995 | 47148298.6391
 ETHIOPIA                  |   1994 | 44415626.9629
 ETHIOPIA                  |   1993 | 43109109.9313
 ETHIOPIA                  |   1992 | 42862529.3955
 FRANCE                    |   1998 | 29026661.6950
 FRANCE                    |   1997 | 47573788.7145
 FRANCE                    |   1996 | 48122152.5255
 FRANCE                    |   1995 | 49835338.1036
 FRANCE                    |   1994 | 48796938.6823
 FRANCE                    |   1993 | 50594037.6254
 FRANCE                    |   1992 | 49669523.3300
 GERMANY                   |   1998 | 25798175.5653
 GERMANY                   |   1997 | 43474233.1289
 GERMANY                   |   1996 | 45711734.3480
 GERMANY                   |   1995 | 46011596.3599
 GERMANY                   |   1994 | 45361558.0973
 GERMANY                   |   1993 | 47659828.1940
 GERMANY                   |   1992 | 44347157.1060
 INDIA                     |   1998 | 30616338.3011
 INDIA                     |   1997 | 49741435.2071
 INDIA                     |   1996 | 51002871.6679
 INDIA                     |   1995 | 51989407.4917
 INDIA                     |   1994 | 51891444.5411
 INDIA                     |   1993 | 50600071.7140
 INDIA                     |   1992 | 51700742.3667
 INDONESIA                 |   1998 | 28762394.9851
 INDONESIA                 |   1997 | 43660728.1864
 INDONESIA                 |   1996 | 47500354.0030
 INDONESIA                 |   1995 | 44965360.7259
 INDONESIA                 |   1994 | 46868697.9984
 INDONESIA                 |   1993 | 45227095.0516
 INDONESIA                 |   1992 | 43653772.7874
 IRAN                      |   1998 | 28124797.4526
 IRAN                      |   1997 | 47235227.5196
 IRAN                      |   1996 | 47462074.6311
 IRAN                      |   1995 | 46594005.1493
 IRAN                      |   1994 | 47657111.8740
 IRAN                      |   1993 | 46638974.6973
 IRAN                      |   1992 | 43409374.1034
 IRAQ                      |   1998 | 30064774.1761
 IRAQ                      |   1997 | 52205565.5417
 IRAQ                      |   1996 | 51267455.5821
 IRAQ                      |   1995 | 53349561.6009
 IRAQ                      |   1994 | 50902718.7235
 IRAQ                      |   1993 | 50408585.1785
 IRAQ                      |   1992 | 51962666.1640
 JAPAN                     |   1998 | 28684549.7161
 JAPAN                     |   1997 | 46828487.1450
 JAPAN                     |   1996 | 44284260.7532
 JAPAN                     |   1995 | 44794187.3172
 JAPAN                     |   1994 | 47792202.2624
 JAPAN                     |   1993 | 45161345.0211
 JAPAN                     |   1992 | 46285344.5929
 JORDAN                    |   1998 | 22856527.6988
 JORDAN                    |   1997 | 40563583.7940
 JORDAN                    |   1996 | 41357739.8836
 JORDAN                    |   1995 | 41236801.2146
 JORDAN                    |   1994 | 39515411.5278
 JORDAN                    |   1993 | 42031815.6204
 JORDAN                    |   1992 | 39396132.4071
 KENYA                     |   1998 | 24858621.5302
 KENYA                     |   1997 | 44884090.5264
 KENYA                     |   1996 | 43664743.9187
 KENYA                     |   1995 | 43694347.6119
 KENYA                     |   1994 | 43552277.5338
 KENYA                     |   1993 | 43331611.8160
 KENYA                     |   1992 | 45317464.5839
 MOROCCO                   |   1998 | 25254323.6215
 MOROCCO                   |   1997 | 41749863.9635
 MOROCCO                   |   1996 | 43293303.2114
 MOROCCO                   |   1995 | 44082949.3994
 MOROCCO                   |   1994 | 41747456.0633
 MOROCCO                   |   1993 | 42176978.0745
 MOROCCO                   |   1992 | 41890971.5323
 MOZAMBIQUE                |   1998 | 28087793.5485
 MOZAMBIQUE                |   1997 | 47315182.2080
 MOZAMBIQUE                |   1996 | 48487315.2312
 MOZAMBIQUE                |   1995 | 49802009.5311
 MOZAMBIQUE                |   1994 | 49206120.2986
 MOZAMBIQUE                |   1993 | 48196909.3799
 MOZAMBIQUE                |   1992 | 49077792.4696
 PERU                      |   1998 | 30424984.0961
 PERU                      |   1997 | 48289609.9661
 PERU                      |   1996 | 48799033.7157
 PERU                      |   1995 | 52649238.2464
 PERU                      |   1994 | 51495379.0425
 PERU                      |   1993 | 49134058.8298
 PERU                      |   1992 | 48886932.9962
 ROMANIA                   |   1998 | 26694030.4843
 ROMANIA                   |   1997 | 46758366.6591
 ROMANIA                   |   1996 | 47515543.8304
 ROMANIA                   |   1995 | 46758467.5697
 ROMANIA                   |   1994 | 46695696.1423
 ROMANIA                   |   1993 | 42849019.8403
 ROMANIA                   |   1992 | 44900174.5559
 RUSSIA                    |   1998 | 27035822.1551
 RUSSIA                    |   1997 | 47847798.8173
 RUSSIA                    |   1996 | 49194403.9024
 RUSSIA                    |   1995 | 44678076.4691
 RUSSIA                    |   1994 | 46423059.2627
 RUSSIA                    |   1993 | 48272680.9409
 RUSSIA                    |   1992 | 43763936.6331
 SAUDI ARABIA              |   1998 | 28562781.1571
 SAUDI ARABIA              |   1997 | 46018703.3902
 SAUDI ARABIA              |   1996 | 50802728.4065
 SAUDI ARABIA              |   1995 | 48046567.8912
 SAUDI ARABIA              |   1994 | 48738907.9025
 SAUDI ARABIA              |   1993 | 48394427.3846
 SAUDI ARABIA              |   1992 | 49414847.2454
 UNITED KINGDOM            |   1998 | 27236891.8171
 UNITED KINGDOM            |   1997 | 45898976.4077
 UNITED KINGDOM            |   1996 | 47554204.7778
 UNITED KINGDOM            |   1995 | 45399557.0242
 UNITED KINGDOM            |   1994 | 47695661.8421
 UNITED KINGDOM            |   1993 | 47089621.3505
 UNITED KINGDOM            |   1992 | 43839658.6126
 UNITED STATES             |   1998 | 24921853.4226
 UNITED STATES             |   1997 | 46096663.2327
 UNITED STATES             |   1996 | 44595255.8961
 UNITED STATES             |   1995 | 43881468.2416
 UNITED STATES             |   1994 | 44283440.1614
 UNITED STATES             |   1993 | 42892589.6308
 UNITED STATES             |   1992 | 46687052.8591
 VIETNAM                   |   1998 | 27295942.1687
 VIETNAM                   |   1997 | 44632505.2936
 VIETNAM                   |   1996 | 47379945.7947
 VIETNAM                   |   1995 | 46277686.2425
 VIETNAM                   |   1994 | 44304030.6170
 VIETNAM                   |   1993 | 46517578.1533
 VIETNAM                   |   1992 | 45759594.4312
(175 rows)

