          s_name           | numwait 
---------------------------+---------
 Supplier#000005317        |      20
 Supplier#000013235        |      20
 Supplier#000008704        |      18
 Supplier#000016813        |      18
 Supplier#000000941        |      17
 Supplier#000001527        |      17
 Supplier#000005429        |      17
 Supplier#000005967        |      17
 Supplier#000007484        |      17
 Supplier#000008958        |      17
 Supplier#000012792        |      17
 Supplier#000012916        |      17
 Supplier#000013287        |      17
 Supplier#000014469        |      17
 Supplier#000017064        |      17
 Supplier#000017480        |      17
 Supplier#000017552        |      17
 Supplier#000000414        |      16
 Supplier#000000870        |      16
 Supplier#000001476        |      16
 Supplier#000004292        |      16
 Supplier#000005055        |      16
 Supplier#000005778        |      16
 Supplier#000007219        |      16
 Supplier#000007621        |      16
 Supplier#000007715        |      16
 Supplier#000008386        |      16
 Supplier#000010316        |      16
 Supplier#000011038        |      16
 Supplier#000014460        |      16
 Supplier#000014999        |      16
 Supplier#000017618        |      16
 Supplier#000001895        |      15
 Supplier#000002077        |      15
 Supplier#000002409        |      15
 Supplier#000004360        |      15
 Supplier#000008642        |      15
 Supplier#000008779        |      15
 Supplier#000009109        |      15
 Supplier#000010197        |      15
 Supplier#000010612        |      15
 Supplier#000010983        |      15
 Supplier#000011714        |      15
 Supplier#000011887        |      15
 Supplier#000012008        |      15
 Supplier#000012123        |      15
 Supplier#000013132        |      15
 Supplier#000015429        |      15
 Supplier#000015720        |      15
 Supplier#000015963        |      15
 Supplier#000016390        |      15
 Supplier#000017611        |      15
 Supplier#000018241        |      15
 Supplier#000018393        |      15
 Supplier#000018732        |      15
 Supplier#000019072        |      15
 Supplier#000019410        |      15
 Supplier#000019629        |      15
 Supplier#000000863        |      14
 Supplier#000000948        |      14
 Supplier#000002071        |      14
 Supplier#000002261        |      14
 Supplier#000002857        |      14
 Supplier#000002910        |      14
 Supplier#000003015        |      14
 Supplier#000003707        |      14
 Supplier#000004599        |      14
 Supplier#000005005        |      14
 Supplier#000006175        |      14
 Supplier#000006573        |      14
 Supplier#000007451        |      14
 Supplier#000009341        |      14
 Supplier#000009400        |      14
 Supplier#000011317        |      14
 Supplier#000011518        |      14
 Supplier#000011568        |      14
 Supplier#000011794        |      14
 Supplier#000013108        |      14
 Supplier#000013948        |      14
 Supplier#000014340        |      14
 Supplier#000016957        |      14
 Supplier#000017060        |      14
 Supplier#000017641        |      14
 Supplier#000017694        |      14
 Supplier#000018043        |      14
 Supplier#000018075        |      14
 Supplier#000018839        |      14
 Supplier#000018868        |      14
 Supplier#000019882        |      14
 Supplier#000019923        |      14
 Supplier#000000400        |      13
 Supplier#000001056        |      13
 Supplier#000001149        |      13
 Supplier#000001584        |      13
 Supplier#000001869        |      13
 Supplier#000002069        |      13
 Supplier#000002649        |      13
 Supplier#000003090        |      13
 Supplier#000003305        |      13
 Supplier#000003666        |      13
(100 rows)

