 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9999.93 | Supplier#000052672        | CANADA                    |   4052647 | Manufacturer#1            | 9QpVWO2glBrFdDmA3Zrqvs                   | 13-364-977-8893 | al pinto beans boost slyly after the
   9999.54 | Supplier#000160476        | PERU                      |   5040430 | Manufacturer#3            | IE6 fL1Jein6cpnqGmTnzBvb                 | 27-157-890-8986 | s about the carefully regular escapades engage blithely above the br
   9998.50 | Supplier#000307050        | BRAZIL                    |   4307023 | Manufacturer#2            | iO9PpEITUeZ1ms3g1rt8wrxyBhXWTOx          | 12-336-510-8151 | c, regular deposits sleep deposits. account
   9997.30 | Supplier#000272075        | PERU                      |   5872038 | Manufacturer#1            | HhZLtiLjNC                               | 27-186-416-9882 |  blithely even orbits. slyly ironic deposits cajole qu
   9997.03 | Supplier#000021474        | UNITED STATES             |    181473 | Manufacturer#2            | B1WCuHtuY5Lm4bj,S                        | 34-502-253-8876 | posits are. regular braids about th
   9996.55 | Supplier#000071147        | PERU                      |     71146 | Manufacturer#2            | UzOIXI3k,wwrlHizjCKTtYYVv 5iARkq         | 27-163-345-7998 | ke at the slyly regular packages. stealthy requests serve. blithely regular accounts acro
   9995.18 | Supplier#000024066        | PERU                      |   3704043 | Manufacturer#4            | CaiBTBTvHdFo3EwYUXSXMWmr9VgCzKka6sM1EWl9 | 27-188-860-4114 | efully regular requests. dependencies are carefully slyly pending foxes. f
   9994.97 | Supplier#000211628        | CANADA                    |   1411623 | Manufacturer#1            | rx,a5uYtK9GuQ gC96oU                     | 13-110-161-5892 | ar instructions wake blithely. ironic accounts along the ironic, regu
   9994.95 | Supplier#000036836        | BRAZIL                    |   3876835 | Manufacturer#4            | HJF6WNqa,jTyW8LiX0dU2dmN8YmR tg          | 12-420-313-3017 | eful, special instructions. ironic, blithe theodolites nag quickly pending requests. quiet, even ac
   9994.81 | Supplier#000208488        | CANADA                    |     48487 | Manufacturer#5            | jzRjVV6KqOyfZ8Njdwhiun0xN                | 13-943-843-5165 | lar ideas. slyly even accounts breach blithely blithely even t
   9994.81 | Supplier#000208488        | CANADA                    |   5808451 | Manufacturer#5            | jzRjVV6KqOyfZ8Njdwhiun0xN                | 13-943-843-5165 | lar ideas. slyly even accounts breach blithely blithely even t
   9994.08 | Supplier#000182229        | ARGENTINA                 |   2582212 | Manufacturer#1            | W37rwbVlrKIXumQASmpzTqs4oVii3SH          | 11-766-586-7762 | lets against the slyly even requests haggle ruthlessly thinly regular deposits. regular request
   9993.93 | Supplier#000097117        | BRAZIL                    |   5537116 | Manufacturer#1            | xnJNle1uJWuSfdDbOH1KACKrCaO1RBcguiR      | 12-331-393-6337 | ss the special deposits. pinto beans along the even requests cajo
   9993.70 | Supplier#000172945        | ARGENTINA                 |   2332937 | Manufacturer#4            | 9QtZ33gFb94go4l                          | 11-920-144-1700 |  regular asymptotes integrate. fluffily ironic pinto bea
   9990.29 | Supplier#000180589        | UNITED STATES             |   5300588 | Manufacturer#1            | hEAkhBfREQXJTz0rcH7gWwJBjTa61            | 34-436-661-5189 | nts boost slyly from the final accounts. blithely special deposits cajo
   9989.87 | Supplier#000279548        | ARGENTINA                 |    119547 | Manufacturer#3            | UfCxsYTX9,tpgleuA85LD8ChkGB8X            | 11-523-930-3028 | usual deposits. fluffily even accounts haggle blithely. unu
   9986.94 | Supplier#000239321        | BRAZIL                    |   5359320 | Manufacturer#5            | Z7j6n je8SL0O g                          | 12-502-317-7581 | ltipliers. furiously ironic accounts w
   9986.87 | Supplier#000022313        | PERU                      |   2582312 | Manufacturer#3            | Rk0,a94wJCHAuB C                         | 27-309-622-6627 | ans must have to integrate according to the qu
   9986.31 | Supplier#000126196        | BRAZIL                    |    926191 | Manufacturer#5            | jKmB5MJstrVVW                            | 12-947-454-9709 | e fluffily pending instructions. special, pending p
   9986.00 | Supplier#000154958        | BRAZIL                    |   2154939 | Manufacturer#2            | VJeRajkZmC2n372gfj3a548MD5a XXOwiW4APuV  | 12-437-375-6301 | furiously pending platelets sleep about the regular packages. quickly express fo
   9984.84 | Supplier#000199903        | UNITED STATES             |   4199876 | Manufacturer#3            | 98hY7x0KsFBFIXv                          | 34-819-525-9469 | y express deposits cajole carefully according to 
   9983.51 | Supplier#000242414        | BRAZIL                    |    322410 | Manufacturer#1            | oP1ECnlus7HjSx6Vhh3CbzPJbbKXEP8n5dPHtW   | 12-757-782-3390 | nts cajole across the final packages. quickly e
   9983.51 | Supplier#000242414        | BRAZIL                    |   2402406 | Manufacturer#1            | oP1ECnlus7HjSx6Vhh3CbzPJbbKXEP8n5dPHtW   | 12-757-782-3390 | nts cajole across the final packages. quickly e
   9983.46 | Supplier#000032463        | CANADA                    |   4352436 | Manufacturer#3            | I9yi4Wdw6vu                              | 13-749-630-9030 | hely ironic packages wake blithely. furiously bold theodolites haggle above the slyly final foxes
   9983.46 | Supplier#000032463        | CANADA                    |   5232414 | Manufacturer#3            | I9yi4Wdw6vu                              | 13-749-630-9030 | hely ironic packages wake blithely. furiously bold theodolites haggle above the slyly final foxes
   9983.30 | Supplier#000056822        | PERU                      |    536819 | Manufacturer#2            | XWIDNRFkSy9                              | 27-273-635-7501 | imes regular foxes haggle blithely along the slyly regular instructions
   9981.86 | Supplier#000293095        | CANADA                    |    213094 | Manufacturer#4            | l 7L3U7hjhXEIQq2XsDfHal78aRC7YcRZLs21783 | 13-403-948-3270 | nal, final instructions wake furiously accounts. furiously permanent requests among the fluffily i
   9981.86 | Supplier#000293095        | CANADA                    |   1573094 | Manufacturer#2            | l 7L3U7hjhXEIQq2XsDfHal78aRC7YcRZLs21783 | 13-403-948-3270 | nal, final instructions wake furiously accounts. furiously permanent requests among the fluffily i
   9981.67 | Supplier#000062678        | CANADA                    |   2382656 | Manufacturer#1            | bp0JRn1gEGhlkJtKpptJFxPUEhKMgfo          | 13-177-391-2348 | ers. slyly even accounts wake blithely. furiously even ac
   9981.18 | Supplier#000159020        | CANADA                    |    479019 | Manufacturer#2            | 5c2eBa0MwKiwv 5O                         | 13-856-513-9222 | oss the quickly final ideas. unusual deposits cajole care
   9980.32 | Supplier#000130277        | CANADA                    |    210276 | Manufacturer#3            | mxCUdlJxUl8O97RjyeugM6dWM,g              | 13-474-633-3618 | ndencies haggle furiously. carefully special packages haggle slyly carefully even packa
   9979.62 | Supplier#000094261        | BRAZIL                    |    574258 | Manufacturer#1            | J5kVLNgCMxaU YG,7tzS4wrQ,7V09D1g         | 12-578-700-2233 |  the carefully even packages. 
   9979.62 | Supplier#000094261        | BRAZIL                    |    654258 | Manufacturer#5            | J5kVLNgCMxaU YG,7tzS4wrQ,7V09D1g         | 12-578-700-2233 |  the carefully even packages. 
   9977.92 | Supplier#000251747        | UNITED STATES             |   2811746 | Manufacturer#4            | 05gd6scfU1Fd95uI7uRo7FSv8qyhhEVCvkSz     | 34-426-378-3865 | unts. slyly regular somas run furio
   9977.60 | Supplier#000104961        | UNITED STATES             |   6264903 | Manufacturer#5            | 294NoMrut3F bzMYO6PdeMODJC               | 34-264-321-1391 | ording to the furiously ironic requests wake slyly special i
   9977.38 | Supplier#000103412        | UNITED STATES             |   3703378 | Manufacturer#1            | rk,1D,99ryr,p16dhqgrzxqyNqftzGVaTjHFpQ3o | 34-817-865-3363 | slow pinto beans are. fluffily final courts above the even courts mold a
   9975.89 | Supplier#000121667        | UNITED STATES             |   5081636 | Manufacturer#2            | A3OeuZwI10z                              | 34-289-414-9321 |  furiously regular deposits will cajole slyly abo
   9974.24 | Supplier#000300937        | PERU                      |     60936 | Manufacturer#1            | H3b3FNFPcCBYdroZPDKj0GHa3UccpJDDcjp      | 27-449-385-9999 | deposits: accounts across the slyly regular packages haggle
   9974.24 | Supplier#000300937        | PERU                      |   4860891 | Manufacturer#5            | H3b3FNFPcCBYdroZPDKj0GHa3UccpJDDcjp      | 27-449-385-9999 | deposits: accounts across the slyly regular packages haggle
   9973.57 | Supplier#000316274        | ARGENTINA                 |   3516273 | Manufacturer#5            | rijQV y8s3psD6h29RB JLVjltDeHxwpwRA E5   | 11-301-411-1842 | ar requests wake slyly according to the slyly pending re
   9973.18 | Supplier#000091752        | BRAZIL                    |   4731723 | Manufacturer#4            | 80KVvLK6dUkoABwNGiyPFX op5CMe5bm96GQSs   | 12-711-877-1254 | re about the quickly even foxes. regular requests
   9973.18 | Supplier#000238505        | BRAZIL                    |   2158504 | Manufacturer#5            | OLlfaON,r2vILd63JPN7ev                   | 12-644-594-5717 | onic, express excuses? epitaphs hinder fluffily. slyly final pinto beans caj
   9971.92 | Supplier#000228331        | BRAZIL                    |   4228304 | Manufacturer#4            | dUfCUQSRZMfvXWMj,I9Q2Y6cbAD1RoWT3CjAKlJ  | 12-517-856-1359 | encies cajole. even foxes cajole. regular instructions haggle quickly 
   9971.04 | Supplier#000112225        | BRAZIL                    |    352223 | Manufacturer#5            |  K1FFaGLK2shjncQ                         | 12-931-755-2910 | he furiously unusual theodolites. quickly special pinto beans are. q
   9970.72 | Supplier#000146679        | ARGENTINA                 |   1026675 | Manufacturer#1            | BnATbfhltTGFwXupZ B 2vWSesxgB130WXA6     | 11-183-123-8484 | ke carefully. quickly bold accounts was fluffily. quick
