          nation           | o_year |   sum_profit    
---------------------------+--------+-----------------
 ALGERIA                   |   1998 |  868502746.1501
 ALGERIA                   |   1997 | 1466980961.7033
 ALGERIA                   |   1996 | 1466005158.4917
 ALGERIA                   |   1995 | 1455806507.7376
 ALGERIA                   |   1994 | 1459276974.5280
 ALGERIA                   |   1993 | 1464798259.8293
 ALGERIA                   |   1992 | 1470153364.8588
 ARGENTINA                 |   1998 |  877888782.5086
 ARGENTINA                 |   1997 | 1486545106.1225
 ARGENTINA                 |   1996 | 1480884641.5023
 ARGENTINA                 |   1995 | 1487072949.0886
 ARGENTINA                 |   1994 | 1495984828.4116
 ARGENTINA                 |   1993 | 1479402752.4518
 ARGENTINA                 |   1992 | 1496863317.6865
 BRAZIL                    |   1998 |  876505151.3353
 BRAZIL                    |   1997 | 1491094049.6569
 BRAZIL                    |   1996 | 1513152537.7568
 BRAZIL                    |   1995 | 1493951841.9183
 BRAZIL                    |   1994 | 1486110923.0267
 BRAZIL                    |   1993 | 1497395848.4777
 BRAZIL                    |   1992 | 1502066061.3159
 CANADA                    |   1998 |  861566424.5482
 CANADA                    |   1997 | 1478638724.5346
 CANADA                    |   1996 | 1466327173.2850
 CANADA                    |   1995 | 1477895894.1980
 CANADA                    |   1994 | 1487873954.1566
 CANADA                    |   1993 | 1497010112.2262
 CANADA                    |   1992 | 1486671134.4498
 CHINA                     |   1998 |  887525209.5562
 CHINA                     |   1997 | 1516520304.3506
 CHINA                     |   1996 | 1521894285.8041
 CHINA                     |   1995 | 1500631772.8964
 CHINA                     |   1994 | 1504540446.2689
 CHINA                     |   1993 | 1510012400.8074
 CHINA                     |   1992 | 1528719970.9200
 EGYPT                     |   1998 |  881263831.8991
 EGYPT                     |   1997 | 1497068357.6093
 EGYPT                     |   1996 | 1496103571.7247
 EGYPT                     |   1995 | 1481105430.0260
 EGYPT                     |   1994 | 1482526515.5004
 EGYPT                     |   1993 | 1492771370.8146
 EGYPT                     |   1992 | 1499722736.1398
 ETHIOPIA                  |   1998 |  868613216.9085
 ETHIOPIA                  |   1997 | 1484896238.1053
 ETHIOPIA                  |   1996 | 1475656089.8143
 ETHIOPIA                  |   1995 | 1494948957.2399
 ETHIOPIA                  |   1994 | 1490687289.5551
 ETHIOPIA                  |   1993 | 1486365720.2786
 ETHIOPIA                  |   1992 | 1486681423.8164
 FRANCE                    |   1998 |  875507074.5610
 FRANCE                    |   1997 | 1491189022.8769
 FRANCE                    |   1996 | 1498245173.3052
 FRANCE                    |   1995 | 1497551820.6016
 FRANCE                    |   1994 | 1503031119.3795
 FRANCE                    |   1993 | 1495738323.5371
 FRANCE                    |   1992 | 1497932919.1859
 GERMANY                   |   1998 |  879501372.6670
 GERMANY                   |   1997 | 1511667213.7478
 GERMANY                   |   1996 | 1526333629.4715
 GERMANY                   |   1995 | 1503877321.1865
 GERMANY                   |   1994 | 1514090734.9471
 GERMANY                   |   1993 | 1525975308.1551
 GERMANY                   |   1992 | 1523521028.5822
 INDIA                     |   1998 |  884955468.2391
 INDIA                     |   1997 | 1493071754.2151
 INDIA                     |   1996 | 1536510203.0653
 INDIA                     |   1995 | 1504951096.8907
 INDIA                     |   1994 | 1514311288.3355
 INDIA                     |   1993 | 1497831025.3075
 INDIA                     |   1992 | 1523650223.6021
 INDONESIA                 |   1998 |  861588600.6147
 INDONESIA                 |   1997 | 1483796282.9789
 INDONESIA                 |   1996 | 1485633975.4217
 INDONESIA                 |   1995 | 1488479146.5575
 INDONESIA                 |   1994 | 1494544134.3624
 INDONESIA                 |   1993 | 1479661071.0450
 INDONESIA                 |   1992 | 1492140155.9223
 IRAN                      |   1998 |  885053535.3956
 IRAN                      |   1997 | 1489810558.8327
 IRAN                      |   1996 | 1505148012.9344
 IRAN                      |   1995 | 1517836813.7005
 IRAN                      |   1994 | 1492306748.9958
 IRAN                      |   1993 | 1506978337.1422
 IRAN                      |   1992 | 1525536177.3374
 IRAQ                      |   1998 |  868453047.1857
 IRAQ                      |   1997 | 1479935701.7903
 IRAQ                      |   1996 | 1482094422.1602
 IRAQ                      |   1995 | 1491198170.9530
 IRAQ                      |   1994 | 1465459406.0543
 IRAQ                      |   1993 | 1468378510.1341
 IRAQ                      |   1992 | 1474386620.5110
 JAPAN                     |   1998 |  880315399.9987
 JAPAN                     |   1997 | 1497035553.5205
 JAPAN                     |   1996 | 1499913928.2357
 JAPAN                     |   1995 | 1491824752.1258
 JAPAN                     |   1994 | 1499066642.3389
 JAPAN                     |   1993 | 1493485669.2402
 JAPAN                     |   1992 | 1512348428.9351
 JORDAN                    |   1998 |  870923106.6366
 JORDAN                    |   1997 | 1486023994.6289
 JORDAN                    |   1996 | 1498033305.0854
 JORDAN                    |   1995 | 1507130294.4647
 JORDAN                    |   1994 | 1488067183.0723
 JORDAN                    |   1993 | 1488871731.7931
 JORDAN                    |   1992 | 1480412709.1095
 KENYA                     |   1998 |  877737644.3881
 KENYA                     |   1997 | 1501919676.2448
 KENYA                     |   1996 | 1494802525.2379
 KENYA                     |   1995 | 1501471906.0066
 KENYA                     |   1994 | 1500839821.4252
 KENYA                     |   1993 | 1492948561.7486
 KENYA                     |   1992 | 1507242908.8424
 MOROCCO                   |   1998 |  862700572.9269
 MOROCCO                   |   1997 | 1499672881.7295
 MOROCCO                   |   1996 | 1486230040.0855
 MOROCCO                   |   1995 | 1482429147.9561
 MOROCCO                   |   1994 | 1493886586.8904
 MOROCCO                   |   1993 | 1498090895.5700
 MOROCCO                   |   1992 | 1495979880.6412
 MOZAMBIQUE                |   1998 |  863602753.1182
 MOZAMBIQUE                |   1997 | 1480555216.1975
 MOZAMBIQUE                |   1996 | 1490158882.8560
 MOZAMBIQUE                |   1995 | 1487429205.1599
 MOZAMBIQUE                |   1994 | 1479538247.4324
 MOZAMBIQUE                |   1993 | 1485829069.6494
 MOZAMBIQUE                |   1992 | 1488721534.0094
 PERU                      |   1998 |  875285837.4488
 PERU                      |   1997 | 1486868669.9493
 PERU                      |   1996 | 1471927658.6473
 PERU                      |   1995 | 1486254650.2532
 PERU                      |   1994 | 1480779244.6352
 PERU                      |   1993 | 1478129766.0541
 PERU                      |   1992 | 1490092955.2866
 ROMANIA                   |   1998 |  873535685.9306
 ROMANIA                   |   1997 | 1485285399.7550
 ROMANIA                   |   1996 | 1480937166.2833
 ROMANIA                   |   1995 | 1492016669.0644
 ROMANIA                   |   1994 | 1479166490.2810
 ROMANIA                   |   1993 | 1493520547.7514
 ROMANIA                   |   1992 | 1489334952.0433
 RUSSIA                    |   1998 |  876162899.6251
 RUSSIA                    |   1997 | 1499797931.6723
 RUSSIA                    |   1996 | 1505877147.9165
 RUSSIA                    |   1995 | 1483116907.2342
 RUSSIA                    |   1994 | 1493831502.6644
 RUSSIA                    |   1993 | 1482780434.6244
 RUSSIA                    |   1992 | 1491536996.3668
 SAUDI ARABIA              |   1998 |  869762437.0059
 SAUDI ARABIA              |   1997 | 1503735513.7465
 SAUDI ARABIA              |   1996 | 1501441466.0172
 SAUDI ARABIA              |   1995 | 1497555871.7752
 SAUDI ARABIA              |   1994 | 1494555665.7207
 SAUDI ARABIA              |   1993 | 1495070426.2670
 SAUDI ARABIA              |   1992 | 1519111389.9798
 UNITED KINGDOM            |   1998 |  883084952.9343
 UNITED KINGDOM            |   1997 | 1508678840.7869
 UNITED KINGDOM            |   1996 | 1520417902.0291
 UNITED KINGDOM            |   1995 | 1509590430.0238
 UNITED KINGDOM            |   1994 | 1515386598.3544
 UNITED KINGDOM            |   1993 | 1514087158.5185
 UNITED KINGDOM            |   1992 | 1534336340.7345
 UNITED STATES             |   1998 |  883088407.4106
 UNITED STATES             |   1997 | 1500270633.8946
 UNITED STATES             |   1996 | 1515757031.9793
 UNITED STATES             |   1995 | 1508264122.1895
 UNITED STATES             |   1994 | 1503467437.6197
 UNITED STATES             |   1993 | 1496414712.1483
 UNITED STATES             |   1992 | 1497206102.7324
 VIETNAM                   |   1998 |  880525482.3862
 VIETNAM                   |   1997 | 1485315974.6548
 VIETNAM                   |   1996 | 1493439541.0607
 VIETNAM                   |   1995 | 1487430315.1230
 VIETNAM                   |   1994 | 1477038341.5438
 VIETNAM                   |   1993 | 1487002092.0079
 VIETNAM                   |   1992 | 1489503407.7025
(175 rows)

