 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                             s_comment                                              
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------
   9988.34 | Supplier#000023569        | ARGENTINA                 |    293561 | Manufacturer#4            | EZlxYBTNi,J1HLwEjPUhrlgnB IB2Ale         | 11-410-115-9353 | lly pending requests boost furiously. deposits across the fluffily unusual sentiments detect acr
   9987.28 | Supplier#000020625        | CANADA                    |    430594 | Manufacturer#5            | Wcm,pG8ovarBbWQOCmz81dE9XJUoz8iIrw5Zp    | 13-843-674-8326 | ideas solve quietly slyly even deposits. carefully final dependencies use furiously slyly bold re
   9987.12 | Supplier#000010499        | CANADA                    |    570498 | Manufacturer#4            | AmZQ39jp9jb1Ji87VMNGPqi                  | 13-674-654-2335 | ckly quickly express requests. carefully regular dependen
   9983.98 | Supplier#000018376        | ARGENTINA                 |    138375 | Manufacturer#1            | xR39vIgwi4Wu0mnz4SokSE9Bc41eMRdGR        | 11-816-487-3999 | xpress packages kindle slyly unusual pinto beans. carefully regular excuses are above the furious
   9983.17 | Supplier#000015839        | PERU                      |    795800 | Manufacturer#2            | YqFVQwPbq0KU3mswsI                       | 27-982-153-6125 | slyly according to the carefully regular deposits. bold dependencies integrate ironic 
   9979.52 | Supplier#000004634        | UNITED STATES             |    574591 | Manufacturer#1            | ukp63mlcz4saSWQr                         | 34-196-553-2719 | uriously. slyly ironic ideas affix slyly! blithely pending theodolites mainta
   9978.37 | Supplier#000017396        | CANADA                    |    247389 | Manufacturer#4            | spIK1m8MVncS4X96ZPw,GouR5C9tA eA3aDD     | 13-373-848-9889 | onic platelets affix quickly regular accounts. silent foxes print slyly about th
   9966.64 | Supplier#000022877        | PERU                      |     22876 | Manufacturer#5            | O0Mg bo7SJzdsNbeSCeGDfj6dEADCMvk         | 27-913-724-2629 | p carefully regular foxes. furiously regula
   9966.64 | Supplier#000022877        | PERU                      |    442854 | Manufacturer#3            | O0Mg bo7SJzdsNbeSCeGDfj6dEADCMvk         | 27-913-724-2629 | p carefully regular foxes. furiously regula
   9962.19 | Supplier#000031326        | UNITED STATES             |    311325 | Manufacturer#4            | UOJ5g9oU7hk3MHLOps5X3oVAUHJ05jF8z29RsPoX | 34-753-267-7829 | carefully regular accounts ar
   9962.19 | Supplier#000031326        | UNITED STATES             |    461314 | Manufacturer#3            | UOJ5g9oU7hk3MHLOps5X3oVAUHJ05jF8z29RsPoX | 34-753-267-7829 | carefully regular accounts ar
   9953.38 | Supplier#000008442        | BRAZIL                    |    508417 | Manufacturer#2            | So5,Vf93wcvoHpP7thm7KxK1F g3DKmXMKZR     | 12-926-257-2326 | ains cajole furiously special deposits. quietly ironic foxes slee
   9952.19 | Supplier#000021234        | UNITED STATES             |    741233 | Manufacturer#1            | uTp8g5HV4fHLbgkMlr0BfZI                  | 34-875-257-9915 |  slyly bold accounts cajole fluffily instructions. expr
   9946.62 | Supplier#000026894        | BRAZIL                    |    176889 | Manufacturer#5            | zsuYhA9n6CathESYr,BSZu5twMC4b            | 12-208-934-3709 |  quickly. blithely silent ideas hinder slyly. ironic 
   9938.15 | Supplier#000020170        | ARGENTINA                 |    660169 | Manufacturer#3            | Ec0hTPfQaUHibAbZMkTf4JcpgNVir9dI65vp     | 11-132-642-9447 | usly even dependencies use express instructions. carefully express
   9935.88 | Supplier#000029533        | CANADA                    |    259526 | Manufacturer#1            | YvAD4oiDfZ2pMsVydy                       | 13-860-998-5191 | to beans sleep blithely among the packages; blithely regular accounts affix. silent ideas 
   9932.72 | Supplier#000008833        | BRAZIL                    |    438822 | Manufacturer#5            | ERwMW1YFF73uW                            | 12-292-851-6826 |  silent packages cajole pending pinto beans. unusual, regular platelets cajole blithely care
   9932.72 | Supplier#000008833        | BRAZIL                    |    668800 | Manufacturer#4            | ERwMW1YFF73uW                            | 12-292-851-6826 |  silent packages cajole pending pinto beans. unusual, regular platelets cajole blithely care
   9930.72 | Supplier#000036543        | UNITED STATES             |    166530 | Manufacturer#1            | FdfESt,aqJBPsXqQnPPTAgtARfhHBB36xOV      | 34-789-417-1136 | ar, final requests. ironic, final theodolites boost carefully above the 
   9926.57 | Supplier#000017817        | UNITED STATES             |    257816 | Manufacturer#3            | XBkbJIJVgvZ WJ                           | 34-183-673-3948 | efully bold deposits. final notornis nag. slyly express platelets among the ironic warhorses
   9926.57 | Supplier#000017817        | UNITED STATES             |    377816 | Manufacturer#4            | XBkbJIJVgvZ WJ                           | 34-183-673-3948 | efully bold deposits. final notornis nag. slyly express platelets among the ironic warhorses
   9920.97 | Supplier#000019538        | ARGENTINA                 |    769518 | Manufacturer#2            | B0HaWXIdGOieqvpZ9rv7S4lkdfsG             | 11-529-992-5701 | es nag quickly. bravely bold foxes sleep furiously express req
   9919.20 | Supplier#000032764        | ARGENTINA                 |    662747 | Manufacturer#4            | rlHCrxnFGkg243mouCoZkI                   | 11-460-618-5311 | bold waters! carefully unusual instructions according to the boldly special depo
   9902.11 | Supplier#000029640        | CANADA                    |    769601 | Manufacturer#1            | 4mjz11M2ItgSkMvE8TtihBx0 X07S5jl5jb      | 13-706-632-3658 | ly pending requests. platelets along the unusual ideas are furiously even dependenc
   9900.08 | Supplier#000003941        | CANADA                    |    243940 | Manufacturer#2            | Pmb05mQfBMS618O7WKqZJ 9vyv               | 13-668-659-3631 | ithely quickly bold accounts. bold pinto beans about the furious dependencies cajole qu
   9898.37 | Supplier#000028538        | BRAZIL                    |    598495 | Manufacturer#5            | EKVeeAeM KSPF                            | 12-940-777-7761 | y regular platelets haggle carefully pending waters. theodolites haggle furiously 
   9887.18 | Supplier#000017765        | UNITED STATES             |    787707 | Manufacturer#2            | cc,JaKNlkUE3XBcgnsA5VNrWGbPk05GWe        | 34-156-805-1624 |  the carefully dogged platelets. carefully final accounts sleep slyly furiously slow deposits. bli
   9883.15 | Supplier#000022952        | ARGENTINA                 |    202941 | Manufacturer#5            | 3H7k,r60KXMlm3rMCFvcU7IMfPBM06rC3        | 11-526-851-5636 |  wake furiously regular ideas. blithely ruthless theodolites are furiously blithely even 
   9882.69 | Supplier#000016645        | ARGENTINA                 |    776644 | Manufacturer#2            | IMtGc9SAoFRHLZvWjdCqYqCoJKxko2f, R0      | 11-195-261-7722 | dencies would cajole. slyly even theodolites detect according to the carefully regular de
   9881.60 | Supplier#000016054        | CANADA                    |    686036 | Manufacturer#3            | cLqrYKmyeG2B,vRs0qQbKaA0RaDAwiuUgUG      | 13-889-499-8710 | t the finally ironic requests detect busily across the theodolites. 
   9831.07 | Supplier#000039959        | UNITED STATES             |    249940 | Manufacturer#3            | XGmDQ,0FtTXgD4POwQEG24QzSVnQ3yW2oQsPbBY4 | 34-212-997-9110 | nts. carefully regular deposits against the quietly final ideas c
   9831.07 | Supplier#000039959        | UNITED STATES             |    719958 | Manufacturer#1            | XGmDQ,0FtTXgD4POwQEG24QzSVnQ3yW2oQsPbBY4 | 34-212-997-9110 | nts. carefully regular deposits against the quietly final ideas c
   9826.92 | Supplier#000013620        | PERU                      |    593591 | Manufacturer#2            | 1aqQVJZUCvks                             | 27-541-425-9639 | nts detect fluffily blithely even ideas; furiously regular dependencies wake
   9826.92 | Supplier#000013620        | PERU                      |    653619 | Manufacturer#5            | 1aqQVJZUCvks                             | 27-541-425-9639 | nts detect fluffily blithely even ideas; furiously regular dependencies wake
   9824.11 | Supplier#000028800        | BRAZIL                    |    198787 | Manufacturer#4            | XfW 2gki3KHf1,7BQVvRnSd                  | 12-378-516-5571 |  the deposits. special sauternes nag furiously above the packages
   9811.33 | Supplier#000039569        | PERU                      |    609523 | Manufacturer#3            | d5rPms4NOw5lFxZJd3OUku7hd7JC1ay1         | 27-283-801-3052 | sts haggle furiously against the requests. evenly final
   9811.05 | Supplier#000039834        | CANADA                    |     69832 | Manufacturer#5            | JwNF7apFRQiXORAmAq2toE1jAR               | 13-380-895-8414 | requests against the express requests affix along the blith
   9810.82 | Supplier#000009549        | CANADA                    |     69546 | Manufacturer#4            | h3RVchUf8MzY46IzbZ0ng09                  | 13-892-235-6781 | arefully express dependencies inside the even instructions sl
   9795.57 | Supplier#000008901        | UNITED STATES             |    448900 | Manufacturer#2            | 80p4fwgJ1a                               | 34-363-626-6781 | s sleep blithely about the slyly even deposits. slyly final accounts cajole furiously furiou
   9789.53 | Supplier#000011353        | PERU                      |    611352 | Manufacturer#1            | DGIL6YvpHyLcjsUw0SQRqYx0                 | 27-838-723-6798 | sits according to the regular packages wake after
   9778.03 | Supplier#000035184        | CANADA                    |    135177 | Manufacturer#4            | 0VTxxwn6CaGz1Ux9LW76th                   | 13-296-875-3970 | long the deposits solve blithely blithely idle instructions
   9768.87 | Supplier#000020583        | BRAZIL                    |    200572 | Manufacturer#3            | eg62ss,9TFKBM71E,LOw0Dn7VD87d            | 12-447-768-1270 | pecial deposits. carefully regular packages are blithely besides
   9767.25 | Supplier#000017997        | ARGENTINA                 |    387969 | Manufacturer#5            | LS4qXAjaQzMvqAt                          | 11-558-286-1874 | lithely regular excuses! special pa
   9760.83 | Supplier#000016750        | BRAZIL                    |    616749 | Manufacturer#3            | vNgHbiXQHkRZA9cfEmlGsPzI                 | 12-753-887-2942 | ct. final ideas sleep. unusual courts are against the express instructions. sl
   9755.48 | Supplier#000017377        | UNITED STATES             |    437356 | Manufacturer#1            | K7H5rWWx5OaAXiMX61zB3,1TQMkhhdv          | 34-950-296-6870 | lithely permanent accounts wake furiously bold reque
   9754.79 | Supplier#000023727        | BRAZIL                    |    173722 | Manufacturer#4            | QytX2KbxNjX8fD                           | 12-586-385-6195 | y regular ideas. carefully regular 
   9745.03 | Supplier#000022257        | ARGENTINA                 |    352232 | Manufacturer#2            | xOMWWujdkfq7NM3j1Qv6CJAsgeyMS3           | 11-266-863-7614 | ecial packages nag along the fi
   9736.36 | Supplier#000039228        | CANADA                    |      9227 | Manufacturer#4            | 4hMRRorQ3E cC3J8tjFRJc5rvd1eN0fW         | 13-300-632-2883 |  boldly unusual packages wake fluffily blithely regular req
   9728.50 | Supplier#000015096        | CANADA                    |    445084 | Manufacturer#5            | JOzH8A3xKIO0LhpmZtn4M                    | 13-684-335-4908 | eodolites sleep blithely against the slyly even fox
   9727.61 | Supplier#000017372        | ARGENTINA                 |    147362 | Manufacturer#3            | gFMiZgceKPFBNSsek2a,PBbB bBVMBFrW        | 11-699-242-8915 | regular foxes-- even pinto beans boost across the dependencie
   9727.61 | Supplier#000017372        | ARGENTINA                 |    667323 | Manufacturer#3            | gFMiZgceKPFBNSsek2a,PBbB bBVMBFrW        | 11-699-242-8915 | regular foxes-- even pinto beans boost across the dependencie
   9726.45 | Supplier#000039020        | PERU                      |    479019 | Manufacturer#2            | PnorLsQitBGneYmI5C8DaT7hIGzGGG           | 27-739-397-3019 | ual foxes. quickly even request
   9726.45 | Supplier#000039020        | PERU                      |    538993 | Manufacturer#2            | PnorLsQitBGneYmI5C8DaT7hIGzGGG           | 27-739-397-3019 | ual foxes. quickly even request
