 c_count | custdist 
---------+----------
       0 |   400017
      10 |    52736
       9 |    51721
      11 |    49389
       8 |    46957
      12 |    44933
      13 |    39738
      18 |    37162
       7 |    37140
      19 |    37138
      14 |    36518
      20 |    36488
      17 |    36010
      16 |    35379
      15 |    35006
      21 |    34145
      22 |    30230
       6 |    26107
      23 |    25837
      24 |    21180
      25 |    16958
       5 |    15992
      26 |    12667
      27 |     9290
       4 |     7994
      28 |     6667
      29 |     4445
       3 |     3301
      30 |     2966
      31 |     1915
      32 |     1174
       2 |     1002
      33 |      694
      34 |      403
       1 |      226
      35 |      221
      36 |      134
      37 |       63
      38 |       24
      39 |       18
      40 |        8
      42 |        3
      41 |        3
      43 |        1
(44 rows)

