scale_factor,table,rows
1,region,5
1,nation,25
1,part,200000
1,supplier,10000
1,partsupp,800000
1,customer,150000
1,orders,1500000
1,lineitem,6001215
2,region,5
2,nation,25
2,part,400000
2,supplier,20000
2,partsupp,1600000
2,customer,300000
2,orders,3000000
2,lineitem,11997996
4,region,5
4,nation,25
4,part,800000
4,supplier,40000
4,partsupp,3200000
4,customer,600000
4,orders,6000000
4,lineitem,23996604
8,region,5
8,nation,25
8,part,1600000
8,supplier,80000
8,partsupp,6400000
8,customer,1200000
8,orders,12000000
8,lineitem,47989007
16,region,5
16,nation,25
16,part,3200000
16,supplier,160000
16,partsupp,12800000
16,customer,2400000
16,orders,24000000
16,lineitem,95988640
32,region,5
32,nation,25
32,part,6400000
32,supplier,320000
32,partsupp,25600000
32,customer,4800000
32,orders,48000000
32,lineitem,192000551
