query,median_s_sf1,median_s_sf2,median_s_sf4,median_s_sf8,median_s_sf16,median_s_sf32,ratio_sf2/sf1,ratio_sf4/sf2,ratio_sf8/sf4,ratio_sf16/sf8,ratio_sf32/sf16,loglog_slope
Q1,0.658,1.337,2.702,5.349,10.635,21.205,2.03,2.02,1.98,1.99,1.99,0.99
Q2,0.105,0.213,0.706,1.576,3.103,6.880,2.03,3.31,2.23,1.97,2.22,1.22
Q3,0.199,0.406,1.044,1.938,2.561,5.459,2.04,2.57,1.86,1.32,2.13,0.93
Q4,0.054,0.101,0.253,0.535,1.284,2.491,1.87,2.50,2.11,2.40,1.94,1.12
Q5,0.116,0.249,0.556,0.938,1.688,6.464,2.15,2.23,1.69,1.80,3.83,1.08
Q6,0.112,0.233,0.578,1.300,2.804,2.848,2.08,2.48,2.25,2.16,1.02,1.00
Q7,0.338,0.776,2.791,3.813,6.330,15.762,2.30,3.60,1.37,1.66,2.49,1.05
Q8,0.072,0.151,0.310,0.626,1.900,3.736,2.10,2.05,2.02,3.04,1.97,1.15
Q9,0.483,1.047,2.349,5.023,10.937,22.182,2.17,2.24,2.14,2.18,2.03,1.10
Q10,0.109,0.263,0.596,1.052,2.329,6.641,2.41,2.27,1.77,2.21,2.85,1.13
Q11,0.044,0.095,0.348,0.623,1.217,2.428,2.16,3.66,1.79,1.95,2.00,1.16
Q12,0.146,0.310,0.651,1.282,2.563,5.129,2.12,2.10,1.97,2.00,2.00,1.01
Q13,0.438,1.139,2.989,6.600,14.075,62.880,2.60,2.62,2.21,2.13,4.47,1.35
Q14,0.048,0.094,0.235,0.511,1.069,2.184,1.96,2.50,2.17,2.09,2.04,1.11
Q15,0.230,0.520,1.424,4.036,8.182,8.603,2.26,2.74,2.83,2.03,1.05,1.12
Q16,0.121,0.213,0.391,0.746,1.417,10.006,1.76,1.84,1.91,1.90,7.06,1.16
Q17,0.314,0.750,1.781,3.636,7.412,15.071,2.39,2.37,2.04,2.04,2.03,1.10
Q18,1.730,3.961,10.142,11.887,26.089,56.538,2.29,2.56,1.17,2.19,2.17,0.95
Q19,0.024,0.044,0.079,0.127,0.264,0.912,1.83,1.80,1.61,2.08,3.45,0.98
Q20,0.301,0.613,1.428,2.996,13.507,34.856,2.04,2.33,2.10,4.51,2.58,1.38
Q21,0.281,0.580,1.940,2.356,5.314,10.264,2.06,3.34,1.21,2.26,1.93,1.01
Q22,0.031,0.058,0.105,0.172,0.335,0.661,1.87,1.81,1.64,1.95,1.97,0.86
TOTAL,5.974,13.147,33.248,57.143,125.195,310.092,2.20,2.53,1.72,2.19,2.48,
