 ps_partkey |    value    
------------+-------------
      39320 | 17265190.38
      92013 | 16840077.82
     187732 | 15956310.29
     154595 | 15818043.00
     144695 | 15394740.92
     170878 | 15365771.63
     102776 | 15340892.99
      82578 | 15236559.90
      70584 | 15033405.50
      32448 | 15032391.58
     169899 | 15027297.80
     116672 | 14428875.96
      42309 | 14374372.23
     146201 | 14345932.16
     191213 | 14338840.02
      18373 | 14147712.76
      97824 | 14124001.52
      86201 | 14109350.23
     147430 | 13587968.01
       6099 | 13568292.56
      98416 | 13562942.17
      32427 | 13468416.75
     177031 | 13229402.79
     191814 | 13220791.20
     144269 | 13214563.64
      78110 | 13155152.88
     106663 | 13108812.44
       9915 | 13084878.40
... (truncated, full output was     1473 lines) ...
