 l_orderkey |   revenue   | o_orderdate | o_shippriority 
------------+-------------+-------------+----------------
    1356130 | 423477.4376 | 1995-03-24  |              0
    2687047 | 405008.3602 | 1995-03-22  |              0
    4613219 | 388942.5848 | 1995-03-10  |              0
    2351270 | 387236.6330 | 1995-03-03  |              0
    1722688 | 386408.9679 | 1995-03-25  |              0
    2191878 | 376419.8560 | 1995-03-28  |              0
     593952 | 372618.7257 | 1995-03-05  |              0
    4929767 | 371583.7123 | 1995-03-17  |              0
    2150210 | 370492.7296 | 1995-03-15  |              0
     302179 | 370439.1572 | 1995-03-27  |              0
    1000004 | 367563.8124 | 1995-03-02  |              0
    4035457 | 365295.2205 | 1995-03-24  |              0
    4736070 | 363448.3771 | 1995-03-05  |              0
    2487429 | 360700.4079 | 1995-03-22  |              0
    3261445 | 359478.0941 | 1995-03-18  |              0
    4882563 | 359276.7875 | 1995-03-20  |              0
    3739619 | 358432.9772 | 1995-03-25  |              0
    3182468 | 358332.4305 | 1995-02-11  |              0
    2736800 | 354164.2596 | 1995-03-12  |              0
      19938 | 352036.3920 | 1995-03-23  |              0
    1444257 | 348626.6080 | 1995-03-10  |              0
    1088995 | 347026.5479 | 1995-03-11  |              0
    1499556 | 346316.7878 | 1995-03-23  |              0
    3394532 | 344080.4137 | 1995-02-03  |              0
    3744992 | 342671.9661 | 1995-03-12  |              0
    4620802 | 341584.5320 | 1995-03-21  |              0
    3252004 | 339914.8055 | 1995-03-27  |              0
    5207430 | 339806.8074 | 1995-03-20  |              0
... (truncated, full output was    11453 lines) ...
