 c_count | custdist 
---------+----------
       0 |   100002
      10 |    13150
       9 |    12917
      11 |    12464
       8 |    11815
      12 |    11280
      13 |     9908
      19 |     9356
       7 |     9273
      18 |     9268
      14 |     9120
      20 |     9094
      17 |     8982
      16 |     8789
      15 |     8746
      21 |     8463
      22 |     7505
       6 |     6557
      23 |     6381
      24 |     5390
      25 |     4198
       5 |     3893
      26 |     3223
      27 |     2311
       4 |     2061
      28 |     1623
      29 |     1198
       3 |      821
      30 |      735
      31 |      474
      32 |      308
       2 |      249
      33 |      169
      34 |      104
      35 |       57
       1 |       44
      36 |       43
      37 |       19
      39 |        5
      38 |        4
      43 |        1
(41 rows)

