          s_name           | numwait 
---------------------------+---------
 Supplier#000015622        |      22
 Supplier#000016293        |      21
 Supplier#000017228        |      21
 Supplier#000008921        |      20
 Supplier#000011119        |      20
 Supplier#000019477        |      20
 Supplier#000000891        |      19
 Supplier#000005387        |      19
 Supplier#000009044        |      19
 Supplier#000015162        |      19
 Supplier#000004667        |      18
 Supplier#000007614        |      18
 Supplier#000009652        |      18
 Supplier#000012361        |      18
 Supplier#000012882        |      18
 Supplier#000013418        |      18
 Supplier#000017458        |      18
 Supplier#000002348        |      17
 Supplier#000004576        |      17
 Supplier#000004775        |      17
 Supplier#000008989        |      17
 Supplier#000012432        |      17
 Supplier#000015104        |      17
 Supplier#000016298        |      17
 Supplier#000017436        |      17
 Supplier#000019492        |      17
 Supplier#000004184        |      16
 Supplier#000004318        |      16
... (truncated, full output was      813 lines) ...
