scale_factor,query,run,seconds,status
1,1,0,0.650,ok
1,2,0,0.118,ok
1,3,0,0.228,ok
1,4,0,0.070,ok
1,5,0,0.137,ok
1,6,0,0.126,ok
1,7,0,0.365,ok
1,8,0,0.085,ok
1,9,0,0.516,ok
1,10,0,0.118,ok
1,11,0,0.058,ok
1,12,0,0.156,ok
1,13,0,0.578,ok
1,14,0,0.054,ok
1,15,0,0.279,ok
1,16,0,0.097,ok
1,17,0,0.365,ok
1,18,0,1.782,ok
1,19,0,0.027,ok
1,20,0,0.320,ok
1,21,0,0.291,ok
1,22,0,0.033,ok
1,1,1,0.649,ok
1,2,1,0.112,ok
1,3,1,0.218,ok
1,4,1,0.062,ok
1,5,1,0.128,ok
1,6,1,0.124,ok
1,7,1,0.336,ok
1,8,1,0.083,ok
1,9,1,0.491,ok
1,10,1,0.115,ok
1,11,1,0.052,ok
1,12,1,0.147,ok
1,13,1,0.460,ok
1,14,1,0.053,ok
1,15,1,0.246,ok
1,16,1,0.100,ok
1,17,1,0.366,ok
1,18,1,1.779,ok
1,19,1,0.056,ok
1,20,1,0.336,ok
1,21,1,0.287,ok
1,22,1,0.034,ok
1,1,2,0.647,ok
1,2,2,0.117,ok
1,3,2,0.213,ok
1,4,2,0.061,ok
1,5,2,0.129,ok
1,6,2,0.122,ok
1,7,2,0.333,ok
1,8,2,0.084,ok
1,9,2,0.493,ok
1,10,2,0.113,ok
1,11,2,0.051,ok
1,12,2,0.148,ok
1,13,2,0.469,ok
1,14,2,0.052,ok
1,15,2,0.245,ok
1,16,2,0.096,ok
1,17,2,0.355,ok
1,18,2,1.780,ok
1,19,2,0.027,ok
1,20,2,0.320,ok
1,21,2,0.267,ok
1,22,2,0.033,ok
1,1,3,0.656,ok
1,2,3,0.115,ok
1,3,3,0.221,ok
1,4,3,0.062,ok
1,5,3,0.132,ok
1,6,3,0.124,ok
1,7,3,0.347,ok
1,8,3,0.085,ok
1,9,3,0.504,ok
1,10,3,0.114,ok
1,11,3,0.054,ok
1,12,3,0.148,ok
1,13,3,0.499,ok
1,14,3,0.054,ok
1,15,3,0.249,ok
1,16,3,0.096,ok
1,17,3,0.385,ok
1,18,3,1.801,ok
1,19,3,0.027,ok
1,20,3,0.325,ok
1,21,3,0.275,ok
1,22,3,0.034,ok
2,1,0,1.310,ok
2,2,0,0.283,ok
2,3,0,0.716,ok
2,4,0,0.133,ok
2,5,0,0.330,ok
2,6,0,0.279,ok
2,7,0,0.923,ok
2,8,0,0.188,ok
2,9,0,1.153,ok
2,10,0,0.296,ok
2,11,0,0.122,ok
2,12,0,0.324,ok
2,13,0,1.670,ok
2,14,0,0.112,ok
2,15,0,0.656,ok
2,16,0,0.181,ok
2,17,0,0.975,ok
2,18,0,4.345,ok
2,19,0,0.052,ok
2,20,0,0.696,ok
2,21,0,0.649,ok
2,22,0,0.064,ok
2,1,1,1.341,ok
2,2,1,0.282,ok
2,3,1,0.486,ok
2,4,1,0.119,ok
2,5,1,0.308,ok
2,6,1,0.266,ok
2,7,1,0.923,ok
2,8,1,0.176,ok
2,9,1,1.139,ok
2,10,1,0.305,ok
2,11,1,0.131,ok
2,12,1,0.351,ok
2,13,1,1.792,ok
2,14,1,0.125,ok
2,15,1,0.686,ok
2,16,1,0.189,ok
2,17,1,1.008,ok
2,18,1,5.384,ok
2,19,1,0.055,ok
2,20,1,0.678,ok
2,21,1,0.601,ok
2,22,1,0.062,ok
2,1,2,1.325,ok
2,2,2,0.306,ok
2,3,2,0.510,ok
2,4,2,0.142,ok
2,5,2,0.338,ok
2,6,2,0.308,ok
2,7,2,1.034,ok
2,8,2,0.192,ok
2,9,2,1.309,ok
2,10,2,0.305,ok
2,11,2,0.129,ok
2,12,2,0.323,ok
2,13,2,1.319,ok
2,14,2,0.106,ok
2,15,2,0.588,ok
2,16,2,0.180,ok
2,17,2,0.963,ok
2,18,2,4.361,ok
2,19,2,0.050,ok
2,20,2,0.644,ok
2,21,2,0.582,ok
2,22,2,0.062,ok
2,1,3,1.321,ok
2,2,3,0.226,ok
2,3,3,0.417,ok
2,4,3,0.112,ok
2,5,3,0.267,ok
2,6,3,0.248,ok
2,7,3,0.806,ok
