scale_factor,dataset_size_mb,db_size_mb,load_index_seconds,run,total_query_seconds,failed_queries
1,1049.7,1704.4,18.436,1,6.234,0
1,1049.7,1704.4,18.436,2,6.155,0
1,1049.7,1704.4,18.436,3,6.307,0
2,2114.6,3397.7,38.081,1,16.407,0
2,2114.6,3397.7,38.081,2,15.076,0
2,2114.6,3397.7,38.081,3,13.835,0
4,4254.5,6783.8,83.239,1,36.477,0
4,4254.5,6783.8,83.239,2,38.146,0
4,4254.5,6783.8,83.239,3,37.049,0
8,8555.8,13555.6,155.377,1,69.479,0
8,8555.8,13555.6,155.377,2,63.634,0
8,8555.8,13555.6,155.377,3,60.501,0
16,17220.6,27102.6,308.374,1,121.702,0
16,17220.6,27102.6,308.374,2,123.068,0
16,17220.6,27102.6,308.374,3,122.740,0
32,34688.3,54197.3,636.142,1,354.274,0
32,34688.3,54197.3,636.142,2,316.771,0
32,34688.3,54197.3,636.142,3,328.233,0
