records	file_size_mb	stage_prefix	run	seconds
2500000	102.3	read	1	0.709
2500000	102.3	validate	1	10.430
2500000	102.3	sort	1	10.643
2500000	102.3	aggregate	1	11.079
2500000	102.3	full	1	10.848
2500000	102.3	read	2	0.651
2500000	102.3	validate	2	10.537
2500000	102.3	sort	2	10.621
2500000	102.3	aggregate	2	10.904
2500000	102.3	full	2	11.038
2500000	102.3	read	3	0.668
2500000	102.3	validate	3	10.295
2500000	102.3	sort	3	10.783
2500000	102.3	aggregate	3	11.056
2500000	102.3	full	3	10.903
6250000	255.8	read	1	0.975
6250000	255.8	validate	1	25.711
6250000	255.8	sort	1	26.609
6250000	255.8	aggregate	1	27.740
6250000	255.8	full	1	27.469
6250000	255.8	read	2	0.950
6250000	255.8	validate	2	26.040
6250000	255.8	sort	2	26.890
6250000	255.8	aggregate	2	28.071
6250000	255.8	full	2	26.705
6250000	255.8	read	3	0.993
6250000	255.8	validate	3	24.122
6250000	255.8	sort	3	26.639
6250000	255.8	aggregate	3	27.271
6250000	255.8	full	3	27.536
12500000	511.6	read	1	1.454
12500000	511.6	validate	1	50.371
12500000	511.6	sort	1	50.113
12500000	511.6	aggregate	1	53.380
12500000	511.6	full	1	55.949
12500000	511.6	read	2	1.518
12500000	511.6	validate	2	49.933
12500000	511.6	sort	2	52.513
12500000	511.6	aggregate	2	52.894
12500000	511.6	full	2	52.861
12500000	511.6	read	3	1.770
12500000	511.6	validate	3	48.487
12500000	511.6	sort	3	50.479
12500000	511.6	aggregate	3	55.389
12500000	511.6	full	3	56.039
25000000	1023.2	read	1	2.496
25000000	1023.2	validate	1	111.437
25000000	1023.2	sort	1	111.392
25000000	1023.2	aggregate	1	102.343
25000000	1023.2	full	1	104.813
25000000	1023.2	read	2	2.547
25000000	1023.2	validate	2	97.759
25000000	1023.2	sort	2	101.395
25000000	1023.2	aggregate	2	105.252
25000000	1023.2	full	2	110.381
25000000	1023.2	read	3	2.569
25000000	1023.2	validate	3	95.361
25000000	1023.2	sort	3	108.475
25000000	1023.2	aggregate	3	109.595
25000000	1023.2	full	3	113.463
