records	file_size_mb	stage_prefix	run	seconds
2500000	102.3	read	1	0.645
2500000	102.3	validate	1	13.267
2500000	102.3	sort	1	13.784
2500000	102.3	aggregate	1	14.119
2500000	102.3	full	1	14.248
2500000	102.3	read	2	0.705
2500000	102.3	validate	2	13.941
2500000	102.3	sort	2	14.628
2500000	102.3	aggregate	2	14.690
2500000	102.3	full	2	15.462
2500000	102.3	read	3	0.757
2500000	102.3	validate	3	16.152
2500000	102.3	sort	3	17.367
2500000	102.3	aggregate	3	17.324
2500000	102.3	full	3	14.813
6250000	255.8	read	1	1.030
6250000	255.8	validate	1	34.993
6250000	255.8	sort	1	35.515
6250000	255.8	aggregate	1	36.198
6250000	255.8	full	1	36.224
6250000	255.8	read	2	0.993
6250000	255.8	validate	2	34.273
6250000	255.8	sort	2	34.911
6250000	255.8	aggregate	2	37.136
6250000	255.8	full	2	36.788
6250000	255.8	read	3	1.003
6250000	255.8	validate	3	35.885
6250000	255.8	sort	3	38.901
6250000	255.8	aggregate	3	37.231
6250000	255.8	full	3	37.716
12500000	511.6	read	1	1.516
12500000	511.6	validate	1	68.747
12500000	511.6	sort	1	72.580
12500000	511.6	aggregate	1	73.398
12500000	511.6	full	1	72.430
12500000	511.6	read	2	1.478
12500000	511.6	validate	2	69.663
12500000	511.6	sort	2	76.803
12500000	511.6	aggregate	2	76.948
12500000	511.6	full	2	76.325
12500000	511.6	read	3	1.555
12500000	511.6	validate	3	72.750
12500000	511.6	sort	3	74.157
12500000	511.6	aggregate	3	74.616
12500000	511.6	full	3	72.953
25000000	1023.2	read	1	2.514
25000000	1023.2	validate	1	146.444
25000000	1023.2	sort	1	142.687
25000000	1023.2	aggregate	1	147.794
25000000	1023.2	full	1	147.338
25000000	1023.2	read	2	2.469
25000000	1023.2	validate	2	138.725
25000000	1023.2	sort	2	149.135
25000000	1023.2	aggregate	2	151.870
25000000	1023.2	full	2	168.347
25000000	1023.2	read	3	2.623
25000000	1023.2	validate	3	146.462
25000000	1023.2	sort	3	148.434
25000000	1023.2	aggregate	3	152.145
25000000	1023.2	full	3	154.758
