customer_id	product_id	category	quantity	price	date
101	P01	Electronics	3	12000	2026-01-05
102	P02	Grocery	5	800	2026-01-07
103	P03	Electronics	2	15000	2026-01-10
104	P04	Furniture	4	30000	2026-01-15
105	P05	Grocery	8	1200	2026-02-01
106	P06	Clothing	3	4500	2026-02-03
107	P07	Electronics	6	9000	2026-02-11
108	P08	Furniture	2	50000	2026-02-18
109	P09	Clothing	5	7000	2026-03-02
110	P10	Electronics	4	22000	2026-03-12
111	P11	Grocery	10	1500	2026-03-20
112	P12	Furniture	3	42000	2026-04-01
113	P13	Clothing	2	12000	2026-04-07
114	P14	Electronics	7	11000	2026-04-15
115	P15	Grocery	4	3500	2026-05-03
116	P16	Furniture	5	18000	2026-05-11
117	P17	Electronics	3	27000	2026-05-19
118	P18	Clothing	6	8000	2026-06-01
119	P19	Grocery	2	6000	2026-06-12
120	P20	Furniture	4	25000	2026-06-20
